cement_opc,scm_flyash,scm_ggbs,silica_sand,locally_avail_sand,w_b,hrwr_b,perc_of_fibre,aspect_ratio,tensile_strength,density,youngs_modulus,elongation,compressive_stregth
325.18,84.62,0.0,795.0,810.0,260.14,0.0,0,0,-1.0,2274.94,-1.0,0,18.02
281.82,118.46,0.0,795.0,810.0,260.14,0.0,0,0,-1.0,2265.42,-1.0,0,15.3
411.89,0.0,0.0,795.0,810.0,260.14,0.0,0,0,-1.0,2277.0299999999997,-1.0,0,34.77
390.21,0.0,0.0,795.0,810.0,260.14,0.0,0,0,-1.0,2255.35,-1.0,0,36.81
368.53,0.0,0.0,795.0,810.0,260.14,0.0,0,0,-1.0,2233.67,-1.0,0,39.78
436.5,0.0,0.0,880.0,778.0,200.0,6.7,0,0,-1.0,2294.5,-1.0,0,53.7
418.5,0.0,0.0,875.0,774.0,200.0,7.5,0,0,-1.0,2267.5,-1.0,0,64.0
400.0,0.0,0.0,870.0,771.0,200.0,8.0,0,0,-1.0,2241.0,-1.0,0,64.0
337.0,0.0,81.5,874.0,774.0,200.0,6.7,0,0,-1.0,2266.5,-1.0,0,66.5
373.0,81.5,0.0,878.0,778.0,200.0,5.82,0,0,-1.0,2310.5,-1.0,0,50.1
291.0,163.5,0.0,872.0,773.0,200.0,6.35,0,0,-1.0,2299.5,-1.0,0,56.5
209.5,163.5,81.5,871.0,772.0,200.0,5.5,0,0,-1.0,2297.5,-1.0,0,50.0
373.0,81.5,0.0,872.0,772.0,200.0,4.67,0,0,-1.0,2298.5,-1.0,0,41.0
291.0,163.5,0.0,859.0,762.0,200.0,4.36,0,0,-1.0,2275.5,-1.0,0,37.6
209.5,163.5,81.5,858.0,761.0,200.0,4.31,0,0,-1.0,2273.5,-1.0,0,35.8
373.0,0.0,81.5,881.0,781.0,200.0,5.35,0,0,-1.0,2316.5,-1.0,0,54.6
255.5,81.5,81.5,868.0,769.0,200.0,7.0,0,0,-1.0,2255.5,-1.0,0,56.8
228.0,0.0,228.0,770.0,1100.0,182.0,0.0,0,0,3.88,2508.0,23.7,0,43.0
228.0,0.0,228.0,770.0,1100.0,182.0,1.82,0,0,4.5,2508.0,26.7,0,46.0
228.0,0.0,182.0,770.0,1100.0,182.0,2.58,0,0,4.45,2462.0,29.0,0,49.5
228.0,0.0,159.0,770.0,1100.0,182.0,2.8,0,0,4.9,2439.0,26.8,0,58.0
674.4,75.0,0.0,453.3,1058.8,187.4,3.4,0,0,-1.0,2448.9,-1.0,0,64.0
594.4,148.6,0.0,449.3,1049.4,185.8,3.0,0,0,-1.0,2427.5,-1.0,0,65.0
515.7,221.0,0.0,445.5,1040.5,184.2,2.3,0,0,-1.0,2406.8999999999996,-1.0,0,62.0
438.2,292.1,0.0,441.6,1031.4,182.6,2.0,0,0,-1.0,2385.9,-1.0,0,58.0
362.0,362.0,0.0,437.7,1022.4,181.0,1.8,0,0,-1.0,2365.1,-1.0,0,44.0
440.0,0.0,0.0,962.5,797.5,198.0,8.25,0,0,-1.0,2398.0,-1.0,0,45.1
385.0,55.0,0.0,962.5,797.5,198.0,8.25,0,0,-1.0,2398.0,-1.0,0,46.5
470.0,0.0,0.0,647.0,1203.0,175.0,9.78,0,0,-1.0,2495.0,35.5,0,55.25
450.0,0.0,0.0,647.0,1203.0,175.0,11.71,0,0,-1.0,2475.0,37.0,0,57.38
425.0,0.0,0.0,647.0,1203.0,175.0,13.34,0,0,-1.0,2450.0,38.1,0,59.5
426.0,0.0,0.0,630.0,1169.0,153.0,2.2,0,0,-1.0,2378.0,-1.0,0,51.0
449.0,0.0,0.0,622.0,1155.0,142.0,5.0,0,0,-1.0,2368.0,-1.0,0,68.0
468.0,0.0,0.0,612.0,1136.0,132.0,8.3,0,0,-1.0,2348.0,-1.0,0,85.0
478.0,0.0,0.0,603.0,1119.0,121.0,12.0,0,0,-1.0,2321.0,-1.0,0,102.0
475.0,0.0,0.0,725.0,1050.0,135.0,43.0,0,0,-1.0,2385.0,-1.0,0,75.225
450.0,0.0,0.0,715.0,1050.0,135.0,43.0,0,0,-1.0,2350.0,-1.0,0,81.175
425.0,0.0,0.0,715.0,1050.0,135.0,43.0,0,0,-1.0,2325.0,-1.0,0,85.85
475.0,0.0,0.0,685.0,1050.0,150.0,19.0,0,0,-1.0,2360.0,-1.0,0,77.35
450.0,0.0,0.0,680.0,1050.0,150.0,19.0,0,0,-1.0,2330.0,-1.0,0,80.75
425.0,0.0,0.0,680.0,1050.0,150.0,19.0,0,0,-1.0,2305.0,-1.0,0,83.725
475.0,0.0,0.0,690.0,1050.0,165.0,12.0,0,0,-1.0,2380.0,-1.0,0,70.55
450.0,0.0,0.0,685.0,1050.0,165.0,12.0,0,0,-1.0,2350.0,-1.0,0,76.075
425.0,0.0,0.0,680.0,1050.0,165.0,12.0,0,0,-1.0,2320.0,-1.0,0,75.225
441.0,0.0,0.0,653.0,1115.0,164.0,2.9,0,0,-1.0,2373.0,-1.0,0,73.9
465.0,0.0,0.0,615.0,1168.0,149.0,3.1,0,0,-1.0,2397.0,-1.0,0,80.3
450.0,0.0,0.0,615.0,1168.0,149.0,3.7,0,0,-1.0,2382.0,-1.0,0,84.2
494.0,0.0,0.0,667.0,1146.0,135.2,18.2,0,0,6.38,2442.2,-1.0,0,79.05
